"SpatialAssessmentUnit";"IndCount";"Fish";"Birds";"Benthic Habitats";"Worst";"EQR";"Class"
"100kmE18N18";2;0.633869702197686;;;"Fish";0.633869702197686;"Good"
"100kmE19N18";2;0.633869702197686;;;"Fish";0.633869702197686;"Good"
"100kmE20N18";2;0.633869702197686;;;"Fish";0.633869702197686;"Good"
"100kmE21N17";2;0.633869702197686;;;"Fish";0.633869702197686;"Good"
"100kmE23N17";2;0.633869702197686;;;"Fish";0.633869702197686;"Good"
"100kmE23N18";2;0.633869702197686;;;"Fish";0.633869702197686;"Good"
"100kmE23N19";2;0.633869702197686;;;"Fish";0.633869702197686;"Good"
"100kmE23N20";2;0.633869702197686;;;"Fish";0.633869702197686;"Good"
"100kmE23N21";4;0.633869702197686;;;"Fish";0.633869702197686;"Good"
"100kmE23N22";4;0.633869702197686;;;"Fish";0.633869702197686;"Good"
"100kmE24N16";1;;;0.63251584883714;"Benthic Habitats";0.63251584883714;"Good"
"100kmE24N16";12;0.708121584639492;;;"Benthic Habitats";0.63251584883714;"Good"
"100kmE24N17";1;;;0.63251584883714;"Benthic Habitats";0.63251584883714;"Good"
"100kmE24N17";12;0.708121584639492;;;"Benthic Habitats";0.63251584883714;"Good"
"100kmE24N18";1;;;0.63251584883714;"Benthic Habitats";0.63251584883714;"Good"
"100kmE24N18";12;0.708121584639492;;;"Benthic Habitats";0.63251584883714;"Good"
"100kmE24N19";1;;;0.63251584883714;"Benthic Habitats";0.63251584883714;"Good"
"100kmE24N19";12;0.708121584639492;;;"Benthic Habitats";0.63251584883714;"Good"
"100kmE24N20";2;0.633869702197686;;;"Fish";0.633869702197686;"Good"
"100kmE24N21";2;0.633869702197686;;;"Fish";0.633869702197686;"Good"
"100kmE24N22";2;0.633869702197686;;;"Fish";0.633869702197686;"Good"
"100kmE24N23";4;0.633869702197686;;;"Fish";0.633869702197686;"Good"
"100kmE24N24";12;0.610645419587339;;;"Fish";0.610645419587339;"Good"
"100kmE24N25";20;0.610645419587339;;;"Fish";0.610645419587339;"Good"
"100kmE24N47";20;0.591447912672704;;;"Fish";0.591447912672704;"Moderate"
"100kmE24N48";18;0.606217601171194;;;"Birds";0.40492962962963;"Moderate"
"100kmE24N48";25;;0.40492962962963;;"Birds";0.40492962962963;"Moderate"
"100kmE24N49";6;0.591447912672704;;;"Birds";0.40492962962963;"Moderate"
"100kmE24N49";25;;0.40492962962963;;"Birds";0.40492962962963;"Moderate"
"100kmE24N50";6;0.591447912672704;;;"Birds";0.40492962962963;"Moderate"
"100kmE24N50";25;;0.40492962962963;;"Birds";0.40492962962963;"Moderate"
"20kmE330N406";4;;;0.733483757458368;"Birds";0.555428571428571;"Moderate"
"20kmE330N406";7;;0.555428571428571;;"Birds";0.555428571428571;"Moderate"
"20kmE330N406";23;0.596454338945516;;;"Birds";0.555428571428571;"Moderate"
